date_sold,sales_price,address,bedrooms,bathrooms,square_feet,home_type,year_built,neighborhood,lat,long,age
2022-04-01T00:00:00Z,261000,"700 15th St UNIT 3309, Tuscaloosa, AL 35401",2,2,1194,Condominium,2009,University,33.1998077090156,-87.5466959172888,13
2022-04-01T00:00:00Z,305000,"700 15th St UNIT 1110, Tuscaloosa, AL 35401",3,3,1367,Condominium,2010,University,33.1998167518344,-87.547400830782,12
2022-04-01T00:00:00Z,218000,"600 13th St E APT 843, Tuscaloosa, AL 35401",3,3,1175,Condominium,2006,University,33.2014981922502,-87.5271516577684,16
2022-04-01T00:00:00Z,1539900,"1150 8th St #517, Tuscaloosa, AL 35401",3,4,2026,Condominium,2020,University,33.2097800405864,-87.5523351731106,2
2022-03-31T00:00:00Z,235000,"700 15th St UNIT 3105, Tuscaloosa, AL 35401",2,2,1037,Condominium,2009,University,33.1998758516646,-87.5466741712617,13
2022-03-31T00:00:00Z,315000,"1217 Convent St #2, Tuscaloosa, AL 35401",2,2,529,Townhouse,1978,University,33.2037316377198,-87.5557978884531,44
2022-03-31T00:00:00Z,909900,"1150 8th St #509, Tuscaloosa, AL 35401",2,2,1183,Condominium,2020,University,33.2097800405864,-87.5523673596173,2
2022-03-30T00:00:00Z,247500,"700 15th St. Unit 2105 Tuscaloosa, AL 35401",2,2,1122,Condominium,2009,University,33.2005986847777,-87.5469945289328,13
2022-03-30T00:00:00Z,240000,"600 13th St E APT 216, Tuscaloosa, AL 35401",3,3,1450,Townhouse,2006,University,33.2016617823792,-87.5275328596176,16
2022-03-25T00:00:00Z,649900,"1150 8th St #311, Tuscaloosa, AL 35401",1,2,1183,Condominium,2020,University,33.2098338995941,-87.5523888172885,2
2022-03-25T00:00:00Z,850000,"1150 8th St #310, Tuscaloosa, AL 35401",2,2,1183,Condominium,2020,University,33.2097800405864,-87.5523351731106,2
2022-03-24T00:00:00Z,153000,"1901 5th Ave E UNIT 3124, Tuscaloosa, AL 35401",2,2,1044,Condominium,2007,Forest Lake,33.193577869746,-87.5295245866042,15
2022-03-24T00:00:00Z,251250,"700 15th St UNIT 2205, Tuscaloosa, AL 35401",2,2,1122,Condominium,2009,University,33.2006712268453,-87.5469315000972,13
2022-03-22T00:00:00Z,110000,"1901 5th Ave E UNIT 1210, Tuscaloosa, AL 35401",1,1,733,Condominium,2007,Forest Lake,33.1936586004335,-87.5297861866041,15
2022-03-17T00:00:00Z,160000,"600 13th St E APT 343, Tuscaloosa, AL 35401",2,1,950,Condominium,2006,University,33.2015647694437,-87.5274347154396,16
2022-03-17T00:00:00Z,215000,"600 13th St E APT 531, Tuscaloosa, AL 35401",3,3,1175,Condominium,2006,University,33.2015750920452,-87.5273515731107,16
2022-03-14T00:00:00Z,253000,"700 15th St UNIT 3401, Tuscaloosa, AL 35401",2,2,1015,Condominium,2009,University,33.199871441501,-87.5467069461243,13
2022-03-14T00:00:00Z,187500,"600 13th St E APT 821, Tuscaloosa, AL 35401",3,3,1175,Condominium,2006,University,33.2016777785772,-87.5271195712616,16
2022-03-14T00:00:00Z,610000,"511 11th St APT 304, Tuscaloosa, AL 35401",3,3,1453,Condominium,2017,University,33.2047491835818,-87.5431492731107,5
2022-03-11T00:00:00Z,90000,"901 Hargrove Rd APT 18D, Tuscaloosa, AL 35401",2,2,739,Condominium,1950,35401,33.1927119373961,-87.5500046019465,72
2022-03-11T00:00:00Z,174250,"1901 5th Ave E UNIT 2218, Tuscaloosa, AL, 35401",3,3,1336,Condominium,2007,Forest Lake,33.1936176132596,-87.5296400154398,15
2022-03-11T00:00:00Z,115000,"1901 5th Ave E UNIT 1112, Tuscaloosa, AL 35401",1,1,804,Condominium,2007,Forest Lake,33.1936303223174,-87.5299457749601,15
2022-03-11T00:00:00Z,115000,"120 15th St E APT 911, Tuscaloosa, AL 35401",1,1,708,Condominium,1996,University,33.2009594936863,-87.5351206019464,26
2022-03-11T00:00:00Z,629650,"511 11th St UNIT 204, Tuscaloosa, AL 35401",3,3,1453,Condominium,2017,University,33.2047132754944,-87.5431921884531,5
2022-03-10T00:00:00Z,130000,"210 15th St E APT 31, Tuscaloosa, AL 35401",2,2,995,Condominium,1985,University,33.1991117881321,-87.5338038019464,37
2022-03-10T00:00:00Z,170000,"120 15th St E APT 923, Tuscaloosa, AL 35401",2,2,1040,Condominium,1991,University,33.2009888033337,-87.535130130782,31
2022-03-09T00:00:00Z,115000,"1901 5th Ave Building 1, 1112, Tuscaloosa, AL 35401",1,1,804,Condominium,2007,University,33.1931197492996,-87.529580828933,15
2022-03-08T00:00:00Z,259400,"700 15th St UNIT 1108, Tuscaloosa, AL 35401",2,2,1122,Condominium,2009,University,33.1998359517793,-87.5473564154396,13
2022-03-08T00:00:00Z,205000,"600 13th St E APT 546, Tuscaloosa, AL 35401",3,3,1250,Condominium,2009,University,33.2015002017604,-87.5274339596175,13
2022-03-07T00:00:00Z,167500,"120 15th St E APT 420, Tuscaloosa, AL 35401",2,1,1040,Condominium,1991,University,33.201065490236,-87.5355582019463,31
2022-03-07T00:00:00Z,285000,"700 15th St UNIT 2110, Tuscaloosa, AL 35401",3,3,1407,Condominium,2009,University,33.2006680141924,-87.5469516135905,13
2022-03-04T00:00:00Z,156900,"600 13th St E APT 413, Tuscaloosa, AL 35401",2,2,875,Condominium,2006,University,33.2017251557856,-87.527371686604,16
2022-03-02T00:00:00Z,145000,"1901 5th Ave E UNIT 3119, Tuscaloosa, AL 35401",2,2,1114,Condominium,2007,Forest Lake,33.1936259696079,-87.5295676019465,15
2022-03-02T00:00:00Z,184900,"1901 5th Ave E UNIT 2202, Tuscaloosa, AL 35401",3,3,1336,Condominium,2007,Forest Lake,33.1938074254242,-87.5296614731109,15
2022-03-01T00:00:00Z,260000,"700 15th St. UNIT 2103, Tuscaloosa, AL 35401",2,3,1367,Condominium,2009,University,33.2006000298452,-87.5470697307819,13
2022-02-28T00:00:00Z,226000,"619 15th Ave APT D, Tuscaloosa, AL 35401",2,1,768,Condominium,1974,University,33.2099804226483,-87.5568123614665,48
2022-02-28T00:00:00Z,242400,"700 15th  St. UNIT 2409, Tuscaloosa, AL 35401",2,2,1122,Condominium,2009,University,33.2005968171842,-87.5468376289328,13
2022-02-25T00:00:00Z,170000,"120 15th St E APT 501, Tuscaloosa, AL 35401",2,2,1040,Condominium,1991,University,33.2010420934663,-87.5356673614667,31
2022-02-25T00:00:00Z,162000,"120 15th St E APT 302, Tuscaloosa, AL 35401",2,2,1040,Condominium,1991,University,33.1999078088001,-87.5351681884532,31
2022-02-21T00:00:00Z,167500,"120 15th St E APT 611, Tuscaloosa, AL 35401",2,2,1040,Condominium,1991,University,33.200940916302,-87.5352704577684,31
2022-02-18T00:00:00Z,246000,"700 15th St UNIT 2209, Tuscaloosa, AL 35401",2,2,1034,Condominium,2009,University,33.2005968171842,-87.546963686604,13
2022-02-18T00:00:00Z,285000,"700 15th St UNIT 2210, Tuscaloosa, AL 35401",3,3,1407,Condominium,2009,University,33.2006051721004,-87.5469207712617,13
2022-02-17T00:00:00Z,182500,"600 13th St E APT 612, Tuscaloosa, AL 35401",3,3,1175,Condominium,2006,University,33.2015917183699,-87.5273371307819,16
2022-02-17T00:00:00Z,239900,"600 13th St E APT 111, Tuscaloosa, AL 35401",3,3,1450,Townhouse,2006,University,33.2017510783441,-87.5276172307819,16
2022-02-17T00:00:00Z,415000,"1403 University Blvd UNIT 10, Tuscaloosa, AL 35401",2,2,1045,Condominium,2010,University,33.2110414848205,-87.5552574712614,12
2022-02-16T00:00:00Z,173500,"1901 5th Ave E UNIT 1202, Tuscaloosa, AL 35401",3,3,1336,Condominium,2007,Forest Lake,33.1930838364428,-87.5296559307821,15
